,house_室,house_厅,house_厨,house_卫,architecture_acreage_,within_acreage_,floor_层,building_age_,unit_price,bargain_day_num_,adjust_price,take_look,attention,view_count_,Building_head_东,Building_head_东 东南,Building_head_东 东南 北,Building_head_东 北,Building_head_东 北 东北,Building_head_东 南,Building_head_东 南 北,Building_head_东 西,Building_head_东 西 北,Building_head_东北,Building_head_东南,Building_head_东南 北,Building_head_东南 南,Building_head_北,Building_head_南,Building_head_南 北,Building_head_南 西,Building_head_南 西北 北,Building_head_南 西南,Building_head_暂无数据,Building_head_西,Building_head_西 西北,Building_head_西北,Building_head_西南,Building_head_西南 东北,Building_head_西南 西,decorate_situation_其他,decorate_situation_毛坯,decorate_situation_简装,decorate_situation_精装,period_int_40年,period_int_50年,period_int_70年,floor_楼_中楼层,floor_楼_低楼层,floor_楼_地下室,floor_楼_底楼层,floor_楼_高楼层,Family_structure_Loft,Family_structure_复式,Family_structure_平层,Family_structure_暂无数据,building_types_塔楼,building_types_暂无数据,building_types_板楼,building_structure_未知结构,building_structure_砖混结构,building_structure_钢混结构,building_structure_钢结构,Equipped_elevator_无,Equipped_elevator_暂无数据,Equipped_elevator_有,house_age_暂无数据,house_age_满两年,house_age_满五年,Trading_ownership_商品房,Trading_ownership_房改房,usage_house_别墅,usage_house_商住两用,usage_house_普通住宅,usage_house_车库,houseing_belog_共有,houseing_belog_暂无数据,houseing_belog_非共有
1590,2.0,2.0,1.0,1.0,0.19742310889443057,0.19742310889443057,1.0,0.991571641051066,0.2718132279089646,0.11383915553741179,0,0,0.05275407292474787,0.11383915553741179,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
1591,2.0,1.0,1.0,1.0,0.15239678581324465,0.1904959822665558,6.0,0.9866137828458106,0.5391067421733091,0.009972589957426956,0,0,0.0023273855702094647,0.009972589957426956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1592,2.0,2.0,1.0,1.0,0.23552230534774174,0.23552230534774174,1.0,0.993554784333168,0.3378352388075649,0.028284831165801598,1,0,0.0062063615205585725,0.028284831165801598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1593,2.0,2.0,1.0,1.0,0.26323081185924074,0.26323081185924074,1.0,0.9910758552305404,0.3627310610107918,0.014404852160727824,0,0,0.0069821567106283944,0.014404852160727824,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1594,2.0,2.0,1.0,1.0,0.23898586866167912,0.23898586866167912,9.0,0.9895884977689638,0.21369804466289133,0.008397970490464804,1,0,0.004654771140418929,0.008397970490464804,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1595,2.0,1.0,1.0,1.0,0.20497367691881405,0.20497367691881405,9.0,0.9910758552305404,0.3791537557431349,0.02420248439960343,0,0,0.008533747090768037,0.02420248439960343,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1596,2.0,2.0,1.0,1.0,0.2886533665835411,0.2886533665835411,1.0,0.9980168567178979,0.16603269580083344,0.003090919694407185,0,0,0.0007757951900698216,0.003090919694407185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1597,2.0,2.0,1.0,1.0,0.2226032141867553,0.2226032141867553,1.0,0.9975210708973723,0.39236029490330165,0.24890651425905405,1,0,0.10162916989914662,0.24890651425905405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1598,3.0,2.0,1.0,2.0,0.36796896647270705,0.36796896647270705,1.0,0.991571641051066,0.5089112084624425,0.12322855309966758,1,0,0.011636927851047323,0.12322855309966758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
1599,1.0,1.0,1.0,1.0,0.23195483513438622,0.17733444167359377,9.0,0.9985126425384234,0.35100972326103214,0.13395929317081706,1,0,0.012412723041117145,0.13395929317081706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1600,2.0,1.0,1.0,1.0,0.2441812136325852,0.2441812136325852,9.0,0.9890927119484383,0.2652313281333476,0.18877937831690675,1,0,0.08921644685802949,0.18877937831690675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
1601,3.0,2.0,1.0,2.0,0.4733998337489609,0.38033388750346353,1.0,0.9970252850768468,0.2173309114221605,0.10036741120895784,1,0,0.0007757951900698216,0.10036741120895784,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1602,2.0,1.0,1.0,1.0,0.21474092546411747,0.21474092546411747,1.0,0.992563212692117,0.5015065712148734,0.21006590074065434,1,0,0.047323506594259115,0.21006590074065434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
1603,2.0,2.0,1.0,1.0,0.3027154336381269,0.3027154336381269,8.0,0.991571641051066,0.20538519072550487,0.0033825158919927683,0,0,0.0007757951900698216,0.0033825158919927683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1604,2.0,1.0,1.0,1.0,0.22942643391521192,0.22942643391521192,1.0,0.9920674268715914,0.4081098407949567,0.002915961975855835,0,0,0.0015515903801396431,0.002915961975855835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1605,2.0,2.0,2.0,1.0,0.48230119146577993,0.48230119146577993,9.0,0.9955379276152702,0.3030986216476119,0.012771913454248556,1,0,0.0,0.012771913454248556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1606,3.0,2.0,1.0,2.0,0.47450817400942086,0.47450817400942086,1.0,0.991571641051066,0.2729778822523774,0.015337959993001691,0,0,0.008533747090768037,0.015337959993001691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1607,3.0,2.0,1.0,1.0,0.30590191188694926,0.30590191188694926,5.0,0.9890927119484383,0.1911529009509563,0.01837056044789176,0,0,0.004654771140418929,0.01837056044789176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
1608,2.0,2.0,1.0,1.0,0.24591299528955388,0.24591299528955388,1.0,0.9940505701536936,0.43643551661502294,0.032717093369102467,1,0,0.010861132660977503,0.032717093369102467,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1609,2.0,1.0,1.0,1.0,0.3411263507896924,0.3411263507896924,1.0,0.9920674268715914,0.3254621220215835,0.02367761124394938,1,0,0.0031031807602792862,0.02367761124394938,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1610,3.0,2.0,1.0,1.0,0.3151842615683014,0.3151842615683014,1.0,0.992563212692117,0.4344481247996581,0.032717093369102467,0,0,0.0069821567106283944,0.032717093369102467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1611,2.0,1.0,1.0,1.0,0.22856054308672757,0.17989747852590743,1.0,0.9905800694100149,0.2412650924244043,0.07068291829474543,1,0,0.05818463925523662,0.07068291829474543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1612,3.0,1.0,1.0,1.0,0.3013300083125519,0.3013300083125519,1.0,0.9940505701536936,0.4151191366598996,0.028401469644835833,1,0,0.0015515903801396431,0.028401469644835833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1613,2.0,2.0,1.0,1.0,0.3002909393183707,0.3002909393183707,9.0,0.9920674268715914,0.36972967197350143,0.07488190353997784,0,0,0.02094647013188518,0.07488190353997784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1614,3.0,2.0,1.0,2.0,0.3325020781379883,0.3325020781379883,9.0,0.9905800694100149,0.34503686291270436,0.15355455764856826,1,0,0.01474010861132661,0.15355455764856826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
