,House_door_model,architecture_acreage,within_acreage,Building_head,decorate_situation,heating_method,period_int,floor,Family_structure,building_types,building_age,building_structure,Ladder_household_proportion,Equipped_elevator,house_id,listing_time,house_age,Trading_ownership,usage_house,houseing_belog,house_site,bargain_time,bargain_price,unit_price,listing_price,bargain_day_num,adjust_price,take_look,attention,view_count
1525,3室2厅1厨2卫        ,101㎡          ,暂无数据         ,东北   ,其他     ,        ,70年           ,高楼层(共15层)          ,平层              ,塔楼       ,2000 ,钢混结构  ,两梯十二户           ,有           ,GZ0003990810          ,2018-04-19         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,汇侨新城南区 3室2厅 101平米,2018.04.23 成交,263,26040,268,4,0,0,8,178
1526,3室1厅1厨1卫        ,66.64㎡          ,暂无数据         ,东南   ,其他     ,        ,70年           ,中楼层(共8层)          ,暂无数据              ,塔楼       ,未知 ,钢结构  ,一梯两户           ,无           ,GZ0003660042          ,2018-03-06         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,大德路濠畔街 3室1厅 66.64平米,2018.04.23 成交,232,34814,237,48,1,0,27,889
1527,2室1厅1厨1卫        ,76㎡          ,暂无数据         ,南   ,其他     ,        ,70年           ,高楼层(共7层)          ,暂无数据              ,塔楼       ,1995 ,钢混结构  ,一梯两户           ,无           ,GZ0004023757          ,2017-12-07         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,富丽家园侨苑 2室1厅 76平米,2018.04.23 成交,126,16579,130,137,0,0,5,82
1528,2室1厅1厨1卫        ,69.2㎡          ,暂无数据         ,北   ,精装     ,        ,70年           ,高楼层(共7层)          ,暂无数据              ,塔楼       ,1999 ,钢混结构  ,一梯四户           ,无           ,GZ0004016058          ,2018-04-24         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,芳华花园洛湖居 2室1厅 69.2平米,2018.04.23 成交,196,28324,200,暂无数据,0,0,0,5
1529,3室2厅1厨2卫        ,161.02㎡          ,暂无数据         ,西   ,其他     ,        ,70年           ,高楼层(共32层)          ,暂无数据              ,塔楼       ,2001 ,钢混结构  ,两梯四户           ,有           ,GZ0004009221          ,2018-04-22         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,都市华庭(天河) 3室2厅 161.02平米,2018.04.23 成交,960,59620,980,1,0,0,1,68
1530,2室2厅1厨1卫        ,82㎡          ,暂无数据         ,北   ,其他     ,        ,70年           ,高楼层(共32层)          ,暂无数据              ,塔楼       ,2002 ,钢混结构  ,三梯九户           ,有           ,GZ0003743230          ,2018-03-14         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,名汇商业大厦 2室2厅 82平米,2018.04.23 成交,310,37805,315,40,1,0,1,747
1531,2室2厅1厨1卫        ,76.89㎡          ,暂无数据         ,南   ,其他     ,        ,70年           ,中楼层(共17层)          ,暂无数据              ,塔楼       ,2000 ,钢混结构  ,两梯八户           ,有           ,GZ0003975605          ,2018-04-18         ,满五年       ,商品房          ,普通住宅          ,暂无数据           ,汇侨新城南区 2室2厅 76.89平米,2018.04.23 成交,210,27312,220,5,1,0,12,338
1532,2室1厅1厨1卫        ,76㎡          ,暂无数据         ,北   ,其他     ,        ,70年           ,低楼层(共6层)          ,暂无数据              ,板楼       ,未知 ,钢混结构  ,一梯四户           ,无           ,GZ0002833891          ,2017-04-28         ,满两年       ,商品房          ,普通住宅          ,暂无数据           ,新塘新世界花园嘉乐苑 2室1厅 76平米,2018.04.23 成交,152.5,20066,155,360,1,0,98,5833
1533,1室1厅1厨1卫        ,34㎡          ,暂无数据         ,北   ,精装     ,        ,70年           ,低楼层(共33层)          ,暂无数据              ,塔楼       ,2007 ,钢混结构  ,两梯八户           ,有           ,GZ0003327653          ,2017-11-16         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,金碧领秀国际 1室1厅 34平米,2018.04.24 成交,153.5,45148,155,159,1,0,6,1556
1534,4室3厅1厨3卫        ,215.33㎡          ,208.98㎡         ,南 北   ,其他     ,        ,70年           ,低楼层(共1层)          ,暂无数据              ,暂无数据       ,未知 ,钢混结构  ,一梯一户           ,暂无数据           ,GZ0003983633          ,2018-04-14         ,暂无数据       ,商品房          ,别墅          ,暂无数据           ,富力金港城东区 4室3厅 215.33平米,2018.04.24 成交,430,19970,450,10,0,0,2,173
