,house_室,house_厅,house_厨,house_卫,architecture_acreage_,within_acreage_,Building_head,decorate_situation,period_int,floor_楼,floor_层,Family_structure,building_types,building_age_,building_structure,Ladder_household_proportion,Equipped_elevator,house_age,Trading_ownership,usage_house,houseing_belog,bargain_price,unit_price,listing_price,bargain_day_num_,adjust_price,take_look,attention,view_count_
950,1.0,1.0,1.0,1.0,35.5,35.5,南,简装,70年,高楼层,9.0,暂无数据,塔楼,2006,钢混结构,一梯六户,无,满五年,商品房,普通住宅,暂无数据,94.8,26705,95.0,1155.0,0,0,39,1155.0
951,2.0,2.0,1.0,1.0,68.35,61.75,南,简装,70年,中楼层,8.0,暂无数据,塔楼,2001,钢混结构,一梯五户,暂无数据,暂无数据,商品房,普通住宅,暂无数据,205.0,29993,210.0,1587.0,1,0,15,1587.0
952,2.0,1.0,1.0,1.0,69.0,69.0,东,精装,70年,高楼层,6.0,暂无数据,塔楼,1999,钢混结构,一梯四户,无,满五年,商品房,普通住宅,暂无数据,209.0,30290,210.0,565.0,0,0,6,565.0
953,3.0,2.0,1.0,1.0,93.57,93.57,东,精装,70年,底楼层,1.0,暂无数据,塔楼,2000,钢混结构,一梯四户,有,满五年,商品房,普通住宅,暂无数据,430.0,45955,430.0,2544.0,1,0,30,2544.0
954,2.0,1.0,1.0,1.0,69.4,69.4,西,其他,70年,高楼层,9.0,暂无数据,塔楼,1999,钢混结构,一梯六户,无,暂无数据,商品房,普通住宅,暂无数据,170.5,24568,175.0,740.0,1,0,11,740.0
955,1.0,1.0,1.0,1.0,36.57,36.57,南,其他,70年,中楼层,4.0,暂无数据,塔楼,1999,钢混结构,一梯十三户,无,暂无数据,商品房,普通住宅,暂无数据,80.0,21876,80.0,76.0,0,0,4,76.0
956,2.0,1.0,1.0,1.0,63.0,63.0,东北,其他,70年,底楼层,1.0,暂无数据,塔楼,2006,钢混结构,三梯八户,有,暂无数据,商品房,普通住宅,暂无数据,206.0,32699,215.0,3143.0,1,0,14,3143.0
957,2.0,1.0,1.0,1.0,85.0,85.0,西北,其他,70年,底楼层,1.0,暂无数据,塔楼,2004,钢混结构,两梯八户,有,暂无数据,商品房,普通住宅,暂无数据,490.0,57648,612.0,1481.0,0,0,2,1481.0
958,3.0,1.0,1.0,1.0,87.0,87.0,东南,其他,70年,底楼层,1.0,暂无数据,塔楼,2008,钢混结构,两梯六户,有,暂无数据,商品房,普通住宅,暂无数据,230.0,26437,410.0,669.0,1,0,1,669.0
959,3.0,2.0,1.0,1.0,80.8,80.8,西,其他,70年,底楼层,1.0,暂无数据,塔楼,2000,钢混结构,两梯八户,有,暂无数据,商品房,普通住宅,暂无数据,530.0,65595,540.0,925.0,0,0,9,925.0
